Ticker,Company,Sector,Industry,Country,Market Cap,ATR,Prev Close,Open,High,Low
AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China,42.86M,0.09,1.35,,,
AACQ,Artius Acquisition Inc.,Financial,Shell Companies,USA,799.12M,0.24,11.03,,,
AAL,American Airlines Group Inc.,Industrials,Airlines,USA,9.98B,0.64,15.82,,,
AAME,Atlantic American Corporation,Financial,Insurance - Life,USA,46.66M,0.14,2.4,,,
AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,233.48M,0.46,10.47,,,
AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA,3.82B,2.07,72.74,,,
AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2372.18B,3.81,139.07,,,
AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,1.51B,1.9,53.56,,,
AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,1.31,98.14,,,
AAXN,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA,10.74B,7.31,170.26,,,
ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,3.13B,1.58,44.32,,,
ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,Canada,14.08B,4.37,50.5,,,
ABCM,Abcam plc,Healthcare,Biotechnology,United Kingdom,5.35B,0.99,23.59,,,
ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,216.56M,0.17,2.12,,,
ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,43.76M,0.22,4.66,,,
ABMD,"Abiomed, Inc.",Healthcare,Medical Devices,USA,15.18B,10.72,347.9,,,
ABNB,"Airbnb, Inc.",Communication Services,Internet Content & Information,USA,116.58B,14.43,181.87,,,
ABST,Absolute Software Corporation,Technology,Software - Application,Canada,648.26M,0.55,13.29,,,
ABTX,"Allegiance Bancshares, Inc.",Financial,Banks - Regional,USA,753.47M,1.21,36.47,,,
ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,354.46M,0.37,4.05,,,
ACACU,Acies Acquisition Corp.,Financial,Shell Companies,Cayman Islands,-,0.43,11.76,,,
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,8.52B,1.87,52.83,,,
ACAM,Acamar Partners Acquisition Corp.,Industrials,Conglomerates,USA,481.18M,0.54,12.3,,,
ACBI,"Atlantic Capital Bancshares, Inc.",Financial,Banks - Regional,USA,366.17M,0.57,17.52,,,
ACCD,"Accolade, Inc.",Healthcare,Health Information Services,USA,2.97B,4.46,59.09,,,
ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,33.47M,0.42,3.67,,,
