Ticker,Sector,Industry,Country,Market Cap,ATR,Prev Close P,Prev Close F,Price,Open,High,Low,Rel Vol,Ppro Time,Finviz Time
AACG,Consumer Defensive,Education & Training Services,China,42.86M,0.09,1.35,,,,,,,,
AACQ,Financial,Shell Companies,USA,799.12M,0.24,11.03,,,,,,,,
AAL,Industrials,Airlines,USA,9.98B,0.64,15.82,,,,,,,,
AAME,Financial,Insurance - Life,USA,46.66M,0.14,2.4,,,,,,,,
AAOI,Technology,Semiconductors,USA,233.48M,0.46,10.47,,,,,,,,
AAON,Industrials,Building Products & Equipment,USA,3.82B,2.07,72.74,,,,,,,,
AAPL,Technology,Consumer Electronics,USA,2372.18B,3.81,139.07,,,,,,,,
AAWW,Industrials,Airports & Air Services,USA,1.51B,1.9,53.56,,,,,,,,
AAXJ,Financial,Exchange Traded Fund,USA,-,1.31,98.14,,,,,,,,
ABCB,Financial,Banks - Regional,USA,3.13B,1.58,44.32,,,,,,,,
ABCL,Healthcare,Biotechnology,Canada,14.08B,4.37,50.5,,,,,,,,
ABCM,Healthcare,Biotechnology,United Kingdom,5.35B,0.99,23.59,,,,,,,,
ABEO,Healthcare,Biotechnology,USA,216.56M,0.17,2.12,,,,,,,,
ABIO,Healthcare,Biotechnology,USA,43.76M,0.22,4.66,,,,,,,,
ABMD,Healthcare,Medical Devices,USA,15.18B,10.72,347.9,,,,,,,,
ABNB,Communication Services,Internet Content & Information,USA,116.58B,14.43,181.87,,,,,,,,
ABST,Technology,Software - Application,Canada,648.26M,0.55,13.29,,,,,,,,
ABTX,Financial,Banks - Regional,USA,753.47M,1.21,36.47,,,,,,,,
ABUS,Healthcare,Biotechnology,USA,354.46M,0.37,4.05,,,,,,,,
ACACU,Financial,Shell Companies,Cayman Islands,-,0.43,11.76,,,,,,,,
ACAD,Healthcare,Biotechnology,USA,8.52B,1.87,52.83,,,,,,,,
ACBI,Financial,Banks - Regional,USA,366.17M,0.57,17.52,,,,,,,,
ACCD,Healthcare,Health Information Services,USA,2.97B,4.46,59.09,,,,,,,,
ACER,Healthcare,Biotechnology,USA,33.47M,0.42,3.67,,,,,,,,
ACET,Healthcare,Biotechnology,USA,292.40M,0.87,14.54,,,,,,,,
ACEV,Financial,Shell Companies,USA,257.37M,0.43,11.19,,,,,,,,
ACEVU,Financial,Shell Companies,USA,-,0.57,12.51,,,,,,,,
ACGL,Financial,Insurance - Diversified,Bermuda,13.73B,1.03,33.31,,,,,,,,
ACHC,Healthcare,Medical Care Facilities,USA,4.64B,1.47,52.01,,,,,,,,
ACHV,Healthcare,Biotechnology,Canada,63.26M,0.9,11.78,,,,,,,,
ACIA,Technology,Communication Equipment,USA,4.79B,2.85,114.48,,,,,,,,
ACIU,Healthcare,Biotechnology,Switzerland,468.74M,0.36,6.33,,,,,,,,
ACIW,Technology,Software - Infrastructure,USA,4.68B,1.05,40.3,,,,,,,,
ACKIU,Financial,Shell Companies,USA,149.30M,0.11,10.47,,,,,,,,
ACLS,Technology,Semiconductor Equipment & Materials,USA,1.43B,1.78,40.09,,,,,,,,
ACMR,Technology,Semiconductor Equipment & Materials,USA,1.94B,6.39,97.6,,,,,,,,
