Ticker,Quantity,Market
AAAU,585500,20
ACU,655100,20
ACWV,1000000,20
ADRA,332200,20
AE,830000,20
AEF,1000000,20
AGG,1000000,20
AGQ,828600,20
AGZ,570400,20
AMJ,861100,20
AMLP,1000000,20
ANEW,214900,20
AOA,905500,20
AOM,1000000,20
AOR,1000000,20
APT,1000000,20
AREN,672800,20
ARGT,113600,20
ARKF,1000000,20
ARKG,1000000,20
ARKK,1000000,20
ARKQ,736100,20
ARKW,878800,20
ARKX,377100,20
ASHR,1000000,20
ATMP,354500,20
ATNM,1000000,20
AWAY,813100,20
AWX,435200,20
BAB,1000000,20
BATL,1000000,20
BATT,345500,20
BBCA,1000000,20
BCI,396600,20
BCM,333700,20
BETZ,530000,20
BHB,1000000,20
BIL,1000000,20
BILS,109200,20
BIV,1000000,20
BKLN,1000000,20
BLOK,471400,20
BLV,1000000,20
BND,1000000,20
BNO,204600,20
BOND,230200,20
BRBS,1000000,20
BRG,1000000,20
BSV,1000000,20
BTG,1000000,20
BULZ,1000000,20
BUZZ,144200,20
BWZ,655200,20
BYLD,127900,20
CANE,249000,20
CAPD,419500,20
CBOE,1000000,20
CCF,1000000,20
CEF,1000000,20
CEMB,1000000,20
CHAU,161500,20
CHIQ,278200,20
CIX,821300,20
CLDS,192500,20
CLSA,106600,20
CLSC,244300,20
CMCL,1000000,20
CMT,1000000,20
COPX,1000000,20
CORN,832700,20
CQP,1000000,20
CQQQ,812600,20
CRUZ,151500,20
CSD,174200,20
CVR,220300,20
CWB,1000000,20
CZA,114100,20
DBA,1000000,20
DBC,1000000,20
DBEF,195000,20
DBND,114000,20
DBO,534700,20
DBP,964700,20
DEED,542700,20
DEM,809200,20
DFAC,209400,20
DFAS,113900,20
DFCF,246800,20
DFNM,195700,20
DFNV,902900,20
DFRA,275700,20
DGL,365400,20
DGRO,1000000,20
DGS,1000000,20
DIA,1000000,20
DIG,200200,20
DIV,433700,20
DJP,755900,20
DLA,1000000,20
DLN,1000000,20
DMAY,269900,20
DSI,1000000,20
DVYE,1000000,20
DXD,142500,20
DXJ,645100,20
EAGG,743400,20
EBND,1000000,20
ECNS,483600,20
EDV,269800,20
EEM,1000000,20
EEMV,1000000,20
EFA,1000000,20
EFAV,1000000,20
EFG,1000000,20
EFIX,107100,20
EFV,1000000,20
EIM,1000000,20
EIRL,187800,20
ELA,1000000,20
ELMD,1000000,20
EMBD,495900,20
EMHC,1000000,20
EMHY,190700,20
EMLC,1000000,20
EMNT,476600,20
EPI,1000000,20
EPM,1000000,20
EPOL,1000000,20
EPU,1000000,20
EPV,108100,20
EQAL,1000000,20
EQX,1000000,20
ESP,311600,20
EUO,172400,20
EVBN,1000000,20
EVI,1000000,20
EWA,1000000,20
EWC,1000000,20
EWJ,1000000,20
EWL,1000000,20
EWM,1000000,20
EWP,1000000,20
EWS,1000000,20
EWT,1000000,20
EWX,1000000,20
EWY,1000000,20
EWZ,1000000,20
EZA,1000000,20
EZM,1000000,20
EZU,1000000,20
FCG,223300,20
FDIS,1000000,20
FDL,1000000,20
FDN,1000000,20
FEIG,348300,20
FEZ,654300,20
FILL,122400,20
FIVG,390300,20
FLCO,1000000,20
FLOT,1000000,20
FLRN,1000000,20
FLTR,285100,20
FM,1000000,20
FNDC,1000000,20
FPE,386600,20
FRD,1000000,20
FSBD,161800,20
FSP,1000000,20
FTEC,1000000,20
FUTY,1000000,20
FVD,1000000,20
FXI,1000000,20
GCC,210800,20
GCLN,121500,20
GDX,1000000,20
GDXJ,1000000,20
GII,1000000,20
GLD,1000000,20
GLDM,1000000,20
GLO,275200,20
GMF,140900,20
GOVT,1000000,20
GRN,187300,20
GRU,233700,20
GSG,1000000,20
GSLC,1000000,20
GSP,315900,20
GSUS,1000000,20
GSY,752600,20
GTEK,190900,20
GUNR,1000000,20
GVAL,356100,20
GVI,181600,20
GWX,1000000,20
GXG,343100,20
HACK,676700,20
HDV,1000000,20
HEDJ,237600,20
HEFA,1000000,20
HEGD,244300,20
HEWJ,1000000,20
HJEN,277100,20
HYBL,1000000,20
HYG,1000000,20
HYLD,121000,20
IAI,529100,20
IAK,354400,20
IAU,1000000,20
IAUM,1000000,20
IBCE,130200,20
ICF,1000000,20
ICOL,1000000,20
ICSH,1000000,20
IDR,389800,20
IDRV,214100,20
IDV,1000000,20
IEFA,1000000,20
IEMG,1000000,20
IEUR,1000000,20
IGE,1000000,20
IGHG,572400,20
IGLB,1000000,20
IGM,1000000,20
IGV,1000000,20
IHAK,111100,20
IHF,1000000,20
IHI,1000000,20
IJH,1000000,20
IJJ,1000000,20
IJK,1000000,20
IJR,1000000,20
IJS,1000000,20
ILCB,1000000,20
ILCG,1000000,20
ILCV,1000000,20
ILF,1000000,20
ILTB,123700,20
IMCB,838100,20
IMFL,1000000,20
IMO,1000000,20
INDA,1000000,20
INFU,1000000,20
INTF,363400,20
INTT,1000000,20
IOO,1000000,20
IPAC,1000000,20
IQDF,127700,20
IQLT,1000000,20
ISCV,712900,20
ISDR,557000,20
ISVL,1000000,20
ITA,1000000,20
ITB,1000000,20
ITOT,1000000,20
IVAL,393100,20
IVE,1000000,20
IVOL,1000000,20
IVOO,1000000,20
IVV,1000000,20
IVW,1000000,20
IWB,1000000,20
IWD,1000000,20
IWF,1000000,20
IWL,1000000,20
IWM,1000000,20
IWN,1000000,20
IWO,1000000,20
IWP,1000000,20
IWR,1000000,20
IWS,1000000,20
IWV,1000000,20
IWY,1000000,20
IXC,1000000,20
IXN,1000000,20
IYC,1000000,20
IYE,1000000,20
IYF,1000000,20
IYG,1000000,20
IYJ,1000000,20
IYLD,186700,20
IYM,1000000,20
IYR,1000000,20
IYT,1000000,20
IYW,1000000,20
IZRL,488600,20
JEMA,216700,20
JEPI,1000000,20
JETS,1000000,20
JJC,278300,20
JNK,1000000,20
JPHY,964000,20
JPST,1000000,20
KBA,189200,20
KBE,1000000,20
KCE,137200,20
KIE,1000000,20
KRBN,811000,20
KRE,1000000,20
KSA,1000000,20
KWT,226800,20
LABU,1000000,20
LCTD,123600,20
LD,259900,20
LDUR,1000000,20
LEU,1000000,20
LGL,832300,20
LIT,1000000,20
LNG,1000000,20
LOPX,228500,20
LQD,1000000,20
LQDB,229600,20
MAG,1000000,20
MBND,984600,20
MBNE,985100,20
MDY,1000000,20
MDYV,1000000,20
METV,1000000,20
MGC,986100,20
MGK,1000000,20
MGV,592100,20
MHH,1000000,20
MINT,1000000,20
MJ,269700,20
MLPA,1000000,20
MLPX,699900,20
MMX,1000000,20
MNA,772200,20
MOAT,1000000,20
MOO,648700,20
MORT,413300,20
MSOS,1000000,20
MTA,1000000,20
MTUM,1000000,20
MUSI,349000,20
MVF,1000000,20
NDVG,428900,20
NEAR,1000000,20
NERD,103100,20
NFRA,1000000,20
NG,1000000,20
NHC,1000000,20
NIB,299100,20
NOBL,293600,20
NSCS,429700,20
NSPI,1000000,20
NTKI,1000000,20
NTSI,379900,20
NTSX,269400,20
NUDM,137800,20
NUDV,309800,20
NUGT,167800,20
NUHY,1000000,20
NURE,380800,20
NUSA,559500,20
NWLG,431500,20
OBE,1000000,20
OEF,1000000,20
OIH,402200,20
OMFL,1000000,20
ORLA,1000000,20
OVB,227300,20
OVL,210200,20
PAB,475700,20
PAPR,635600,20
PAUG,608600,20
PBP,112600,20
PBW,174300,20
PCY,1000000,20
PDEC,661800,20
PEJ,1000000,20
PFFD,1000000,20
PFXF,196400,20
PGX,1000000,20
PHYS,1000000,20
PICK,1000000,20
PJAN,558900,20
PJP,638200,20
PJUL,579100,20
PJUN,535300,20
PMAR,573800,20
PNOV,611500,20
PPLT,278600,20
PQIN,199900,20
PRK,1000000,20
PRNT,275700,20
PSEP,674000,20
PSFD,351600,20
PSK,338900,20
PSLV,1000000,20
PSQ,1000000,20
PST,218700,20
PW,1000000,20
PWV,1000000,20
PXH,1000000,20
QLD,497200,20
QUAL,1000000,20
QUS,1000000,20
QVAL,434600,20
QVML,1000000,20
QVMM,1000000,20
QVMS,1000000,20
RDIV,1000000,20
RDMX,367000,20
REI,1000000,20
REM,1000000,20
REMX,169100,20
REPX,1000000,20
RFG,246800,20
RJA,1000000,20
RJI,495000,20
RJN,259900,20
RLGT,1000000,20
ROAM,173900,20
ROBO,860700,20
RODM,141500,20
ROM,356700,20
RPG,1000000,20
RPHS,150800,20
RPV,1000000,20
RSP,1000000,20
RWM,408300,20
RWO,1000000,20
RWR,1000000,20
RWX,1000000,20
RYH,479600,20
RYLD,1000000,20
SACH,1000000,20
SCHA,1000000,20
SCHB,1000000,20
SCHD,1000000,20
SCHE,1000000,20
SCHF,1000000,20
SCHG,1000000,20
SCHH,1000000,20
SCHM,1000000,20
SCHO,1000000,20
SCHP,1000000,20
SCHR,1000000,20
SCHV,1000000,20
SCHX,1000000,20
SCHZ,1000000,20
SDIV,1000000,20
SDOG,1000000,20
SDOW,343800,20
SDS,138900,20
SDY,1000000,20
SEB,145600,20
SEMI,380700,20
SGOL,1000000,20
SGOV,143800,20
SH,1000000,20
SHYD,221400,20
SHYG,1000000,20
SIL,1000000,20
SILJ,1000000,20
SILV,1000000,20
SIVR,724800,20
SIZE,1000000,20
SJB,514200,20
SJNK,1000000,20
SLV,1000000,20
SLVP,159000,20
SMHB,362700,20
SMIN,1000000,20
SMLV,640800,20
SOXL,1000000,20
SPAB,914700,20
SPDW,1000000,20
SPEM,1000000,20
SPHD,1000000,20
SPHQ,1000000,20
SPIB,1000000,20
SPIP,506100,20
SPLB,1000000,20
SPLG,1000000,20
SPLV,1000000,20
SPMB,1000000,20
SPSB,1000000,20
SPTI,1000000,20
SPTL,1000000,20
SPTM,1000000,20
SPTS,1000000,20
SPY,1000000,20
SPYD,1000000,20
SPYG,1000000,20
SPYV,1000000,20
SRLN,1000000,20
SSO,132300,20
STIP,1000000,20
STPZ,320200,20
SUSA,1000000,20
SVT,220000,20
SVXY,410300,20
SWAN,211500,20
TBT,107600,20
TDSA,173300,20
TDSB,132300,20
TDSC,122200,20
TDV,246700,20
TECL,107200,20
TELL,1000000,20
TFI,223400,20
TFLO,170600,20
THCX,543900,20
TIP,1000000,20
TIPX,1000000,20
TMFG,235000,20
TMFM,174900,20
TMP,1000000,20
TOTL,144800,20
TTAC,327800,20
TTAI,438600,20
TYO,216300,20
TZA,140500,20
UCO,1000000,20
UEC,1000000,20
UEVM,1000000,20
UGL,247000,20
UITB,1000000,20
UIVM,1000000,20
ULTR,1000000,20
UMI,126000,20
UPRO,184400,20
URA,1000000,20
URNM,493200,20
USDU,755200,20
USFR,1000000,20
USL,138600,20
USMV,1000000,20
USO,1000000,20
USTB,1000000,20
UUP,1000000,20
VAW,1000000,20
VB,1000000,20
VBK,893800,20
VBR,1000000,20
VDC,1000000,20
VDE,1000000,20
VEA,1000000,20
VEGI,295600,20
VEU,1000000,20
VFH,1000000,20
VGK,1000000,20
VGT,1000000,20
VHAQ,893000,20
VHT,1000000,20
VIG,1000000,20
VKI,479500,20
VLUE,1000000,20
VNM,596100,20
VNQ,1000000,20
VO,1000000,20
VOE,1000000,20
VOO,1000000,20
VOOG,1000000,20
VOT,828200,20
VPL,1000000,20
VPU,1000000,20
VSS,1000000,20
VT,1000000,20
VTI,1000000,20
VTV,1000000,20
VUG,1000000,20
VV,1000000,20
VWO,1000000,20
VXF,332500,20
VXZ,346700,20
VYM,1000000,20
WEAT,1000000,20
WPS,331200,20
WTMF,559000,20
XAR,1000000,20
XB,226800,20
XBB,846900,20
XBI,1000000,20
XHB,1000000,20
XHE,268200,20
XLB,1000000,20
XLC,1000000,20
XLE,1000000,20
XLF,1000000,20
XLI,1000000,20
XLK,1000000,20
XLP,1000000,20
