Symbol,Name,% Holding,openhigh_mean,openhigh_std,openhigh_range,openlow_mean,openlow_std,openlow_range,range_mean,range_std,range_range
AAPL,Apple Inc,6.18%,162192830,,,,,,,,
MSFT,Microsoft Corp,6.00%,77874420,,,,,,,,
AMZN,Amazon.com Inc,3.73%,4432537,,,,,,,,
FB,Facebook Inc,2.31%,24774292,,,,,,,,
GOOGL,Alphabet Cl A,2.24%,3109532,,,,,,,,
GOOG,Alphabet Cl C,2.14%,2944342,,,,,,,,
TSLA,Tesla Inc,1.44%,7968467,,,,,,,,
NVDA,Nvidia Corp,1.43%,25766644,,,,,,,,
BRK.B,Berkshire Hathaway Cl B,1.43%,19597484,,,,,,,,
JPM,JP Morgan Chase & Company,1.26%,31299886,,,,,,,,
JNJ,Johnson & Johnson,1.22%,27228702,,,,,,,,
UNH,Unitedhealth Group Inc,1.05%,9757492,,,,,,,,
V,Visa Inc,1.04%,17506824,,,,,,,,
PG,Procter & Gamble Company,0.92%,25314102,,,,,,,,
HD,Home Depot,0.91%,10993482,,,,,,,,
PYPL,Paypal Holdings,0.86%,12146297,,,,,,,,
DIS,Walt Disney Company,0.85%,18786808,,,,,,,,
MA,Mastercard Inc,0.83%,9049888,,,,,,,,
ADBE,Adobe Systems Inc,0.83%,4947521,,,,,,,,
BAC,Bank of America Corp,0.82%,77971760,,,,,,,,
CMCSA,Comcast Corp A,0.72%,47405830,,,,,,,,
PFE,Pfizer Inc,0.71%,57878490,,,,,,,,
CRM,Salesforce.com Inc,0.66%,9984145,,,,,,,,
CSCO,Cisco Systems Inc,0.66%,43576656,,,,,,,,
NFLX,Netflix Inc,0.65%,4584623,,,,,,,,
XOM,Exxon Mobil Corp,0.62%,43773384,,,,,,,,
VZ,Verizon Communications Inc,0.60%,42806868,,,,,,,,
ABT,Abbott Laboratories,0.59%,18371764,,,,,,,,
KO,Coca-Cola Company,0.57%,40123404,,,,,,,,
INTC,Intel Corp,0.57%,41751630,,,,,,,,
NKE,Nike Inc,0.57%,13182673,,,,,,,,
TMO,Thermo Fisher Scientific Inc,0.57%,4065621,,,,,,,,
PEP,Pepsico Inc,0.57%,14285706,,,,,,,,
ABBV,Abbvie Inc,0.56%,18232406,,,,,,,,
ACN,Accenture Plc,0.55%,6572501,,,,,,,,
LLY,Eli Lilly and Company,0.55%,8230382,,,,,,,,
WMT,Wal-Mart Stores,0.54%,14196967,,,,,,,,
DHR,Danaher Corp,0.54%,6563732,,,,,,,,
COST,Costco Wholesale,0.53%,4570007,,,,,,,,
WFC,Wells Fargo & Company,0.53%,42683556,,,,,,,,
MRK,Merck & Company,0.52%,26180746,,,,,,,,
AVGO,Broadcom Ltd,0.52%,4214921,,,,,,,,
T,AT&T Inc,0.52%,73825580,,,,,,,,
CVX,Chevron Corp,0.50%,19984296,,,,,,,,
MDT,Medtronic Inc,0.47%,13917891,,,,,,,,
MCD,McDonald's Corp,0.47%,7715356,,,,,,,,
TXN,Texas Instruments,0.46%,9548943,,,,,,,,
NEE,Nextera Energy,0.43%,20235642,,,,,,,,
QCOM,Qualcomm Inc,0.43%,11663424,,,,,,,,
LIN,Linde Plc,0.43%,5378922,,,,,,,,
ORCL,Oracle Corp,0.42%,18783316,,,,,,,,
HON,Honeywell International Inc,0.42%,7180735,,,,,,,,
PM,Philip Morris International Inc,0.41%,16114859,,,,,,,,
MS,Morgan Stanley,0.40%,15390442,,,,,,,,
BMY,Bristol-Myers Squibb Company,0.40%,23130798,,,,,,,,
INTU,Intuit Inc,0.40%,2827248,,,,,,,,
C,Citigroup Inc,0.39%,21372784,,,,,,,,
UNP,Union Pacific Corp,0.39%,6868652,,,,,,,,
LOW,Lowe's Companies,0.38%,7309267,,,,,,,,
UPS,United Parcel Service,0.37%,7478547,,,,,,,,
GS,Goldman Sachs Group,0.37%,3517640,,,,,,,,
SBUX,Starbucks Corp,0.36%,12155299,,,,,,,,
