Symbol,Name,% Holding,openhigh_mean,openhigh_std,openhigh_range,openlow_mean,openlow_std,openlow_range,range_mean,range_std,range_range
AAPL,Apple Inc,6.18%,2.22,1.25,0.88-4.49,2.448,1.574,0.82-6.32,2.942,1.414,1.51-6.78
MSFT,Microsoft Corp,6.00%,2.23,0.545,1.6-3.19,2.744,0.62,1.94-3.83,3.564,0.722,2.34-5.14
AMZN,Amazon.com Inc,3.73%,42.173,19.009,20.32-89.55,42.033,4.024,37.84-47.99,57.502,15.896,36.0-89.78
FB,Facebook Inc,2.31%,5.224,2.595,2.03-8.96,5.603,2.436,2.29-9.36,6.622,2.537,3.265-10.97
GOOGL,Alphabet Cl A,2.24%,25.884,14.171,11.36-57.23,31.904,17.209,16.82-69.495,37.298,17.807,17.805-79.615
GOOG,Alphabet Cl C,2.14%,29.275,12.575,15.72-57.19,31.552,20.336,13.55-74.04,39.336,18.424,20.866-85.55
TSLA,Tesla Inc,1.44%,11.21,4.289,6.47-20.2,19.065,8.936,7.46-31.55,17.823,7.274,9.8-35.93
NVDA,Nvidia Corp,1.43%,4.13,1.88,1.97-6.57,3.899,1.901,1.89-8.13,5.143,2.115,2.985-11.06
BRK.B,Berkshire Hathaway Cl B,1.43%,1.507,0.496,1.05-2.47,2.549,0.889,1.28-4.18,2.542,0.751,1.57-4.42
JPM,JP Morgan Chase & Company,1.26%,1.624,0.422,1.08-2.562,2.367,1.291,0.85-4.19,2.53,0.926,1.54-5.08
JNJ,Johnson & Johnson,1.22%,1.185,0.283,0.85-1.49,1.785,0.836,0.84-3.49,2.072,0.739,1.28-3.78
UNH,Unitedhealth Group Inc,1.05%,4.719,2.667,1.8-8.9,6.214,3.388,2.71-12.97,6.982,3.095,2.67-13.41
V,Visa Inc,1.04%,2.238,0.684,1.26-3.3,3.549,2.064,1.899-8.47,3.643,1.581,2.01-8.59
PG,Procter & Gamble Company,0.92%,1.492,0.69,0.605-2.38,0.869,0.186,0.55-1.09,1.362,0.421,0.845-2.38
HD,Home Depot,0.91%,3.672,0.965,2.98-5.57,3.129,1.076,1.58-5.28,4.544,0.747,2.859-5.74
PYPL,Paypal Holdings,0.86%,5.509,3.091,2.67-11.346,5.772,3.2,2.134-13.17,6.542,2.883,3.46-13.37
DIS,Walt Disney Company,0.85%,3.31,0.806,2.38-4.53,2.258,0.441,1.615-2.81,3.343,0.872,2.3-5.5
MA,Mastercard Inc,0.83%,4.142,1.32,2.93-7.0,6.552,2.525,3.64-11.18,6.246,2.16,3.72-11.205
ADBE,Adobe Systems Inc,0.83%,7.284,2.873,3.93-11.769,8.916,5.699,4.13-21.88,9.983,4.137,6.96-23.36
BAC,Bank of America Corp,0.82%,0.514,0.115,0.36-0.69,0.786,0.37,0.34-1.45,0.831,0.27,0.51-1.65
CMCSA,Comcast Corp A,0.72%,0.677,0.55,0.255-2.11,1.969,1.78,0.62-5.025,1.249,1.248,0.47-5.45
PFE,Pfizer Inc,0.71%,0.571,0.22,0.28-0.96,0.845,0.297,0.557-1.54,0.911,0.252,0.54-1.63
CRM,Salesforce.com Inc,0.66%,3.591,1.827,1.77-6.99,3.154,1.48,1.11-5.08,4.657,1.678,2.11-7.86
CSCO,Cisco Systems Inc,0.66%,0.671,0.585,0.24-1.82,0.509,0.174,0.27-0.93,0.764,0.528,0.379-2.54
NFLX,Netflix Inc,0.65%,12.118,5.095,6.078-22.0,9.889,4.004,4.509-15.795,13.658,4.616,6.704-22.01
XOM,Exxon Mobil Corp,0.62%,1.09,0.287,0.6-1.38,0.868,0.312,0.47-1.29,1.136,0.268,0.725-1.7
VZ,Verizon Communications Inc,0.60%,0.336,0.119,0.18-0.576,0.387,0.141,0.2-0.67,0.43,0.119,0.28-0.7
ABT,Abbott Laboratories,0.59%,1.35,0.301,0.81-1.7,1.77,1.433,0.64-4.86,1.837,0.881,1.249-4.889
KO,Coca-Cola Company,0.57%,0.479,0.193,0.3-0.87,0.476,0.263,0.21-1.09,0.603,0.2,0.33-1.18
INTC,Intel Corp,0.57%,0.685,0.236,0.36-1.13,0.673,0.233,0.32-1.1,0.843,0.23,0.51-1.17
NKE,Nike Inc,0.57%,1.555,0.145,1.41-1.7,2.121,0.777,0.98-3.35,2.608,0.739,1.79-4.59
TMO,Thermo Fisher Scientific Inc,0.57%,6.814,2.818,2.95-10.55,10.643,6.374,4.86-24.16,10.462,4.715,5.76-26.11
PEP,Pepsico Inc,0.57%,1.237,0.445,0.63-2.18,1.461,0.616,0.75-2.8,1.684,0.52,1.12-3.08
ABBV,Abbvie Inc,0.56%,1.67,0.729,0.89-2.81,3.026,4.252,0.71-14.9,2.979,3.537,1.05-15.43
ACN,Accenture Plc,0.55%,2.737,1.19,1.43-5.26,3.828,2.724,1.56-9.13,3.995,1.888,2.315-9.6
LLY,Eli Lilly and Company,0.55%,3.068,1.722,1.11-5.8,5.391,2.886,3.42-13.62,5.699,2.77,2.03-14.35
WMT,Wal-Mart Stores,0.54%,1.148,0.394,0.665-1.58,1.4,0.432,0.75-1.91,1.658,0.406,0.96-2.514
