Symbol,Name,% Holding,Shares
AAPL,Apple Inc,6.59%,N/A
MSFT,Microsoft Corp,5.56%,N/A
AMZN,Amazon.com Inc,2.63%,N/A
GOOGL,Alphabet Cl A,1.79%,N/A
BRK.B,Berkshire Hathaway Cl B,1.61%,N/A
GOOG,Alphabet Cl C,1.59%,N/A
NVDA,Nvidia Corp,1.53%,N/A
TSLA,Tesla Inc,1.52%,N/A
XOM,Exxon Mobil Corp,1.34%,N/A
UNH,Unitedhealth Group Inc,1.29%,N/A
JNJ,Johnson & Johnson,1.24%,N/A
META,Meta Platforms Inc,1.22%,N/A
JPM,JP Morgan Chase & Company,1.21%,N/A
V,Visa Inc,1.09%,N/A
HD,Home Depot,0.98%,N/A
PG,Procter & Gamble Company,0.97%,N/A
MA,Mastercard Inc,0.92%,N/A
CVX,Chevron Corp,0.88%,N/A
LLY,Eli Lilly and Company,0.77%,N/A
MRK,Merck & Company,0.77%,N/A
ABBV,Abbvie Inc,0.75%,N/A
BAC,Bank of America Corp,0.74%,N/A
PFE,Pfizer Inc,0.71%,N/A
AVGO,Broadcom Ltd,0.71%,N/A
PEP,Pepsico Inc,0.69%,N/A
KO,Coca-Cola Company,0.68%,N/A
COST,Costco Wholesale,0.66%,N/A
TMO,Thermo Fisher Scientific Inc,0.66%,N/A
DIS,Walt Disney Company,0.58%,N/A
WMT,Walmart Inc,0.58%,N/A
MCD,McDonald's Corp,0.57%,N/A
CSCO,Cisco Systems Inc,0.57%,N/A
ABT,Abbott Laboratories,0.56%,N/A
WFC,Wells Fargo & Company,0.53%,N/A
ACN,Accenture Plc,0.52%,N/A
ADBE,Adobe Systems Inc,0.51%,N/A
VZ,Verizon Communications Inc,0.50%,N/A
DHR,Danaher Corp,0.50%,N/A
CMCSA,Comcast Corp A,0.50%,N/A
CRM,Salesforce Inc,0.49%,N/A
TXN,Texas Instruments,0.48%,N/A
NFLX,Netflix Inc,0.47%,N/A
LIN,Linde Plc,0.46%,N/A
BMY,Bristol-Myers Squibb Company,0.46%,N/A
NKE,Nike Inc,0.46%,N/A
PM,Philip Morris International Inc,0.46%,N/A
NEE,Nextera Energy,0.44%,N/A
QCOM,Qualcomm Inc,0.43%,N/A
RTX,Raytheon Technologies Corp,0.42%,N/A
T,AT&T Inc,0.41%,N/A
UPS,United Parcel Service,0.40%,N/A
HON,Honeywell International Inc,0.40%,N/A
ORCL,Oracle Corp,0.40%,N/A
AMD,Adv Micro Devices,0.39%,N/A
LOW,Lowe's Companies,0.39%,N/A
COP,Conocophillips,0.39%,N/A
CAT,Caterpillar Inc,0.38%,N/A
MS,Morgan Stanley,0.38%,N/A
AMGN,Amgen Inc,0.38%,N/A
UNP,Union Pacific Corp,0.37%,N/A
GS,Goldman Sachs Group,0.37%,N/A
IBM,International Business Machines,0.36%,N/A
SPGI,S&P Global Inc,0.36%,N/A
SCHW,The Charles Schwab Corp,0.35%,N/A
PLD,Prologis Inc,0.35%,N/A
SBUX,Starbucks Corp,0.35%,N/A
INTC,Intel Corp,0.34%,N/A
INTU,Intuit Inc,0.34%,N/A
BA,Boeing Company,0.34%,N/A
ELV,Elevance Health Inc,0.33%,N/A
MDT,Medtronic Inc,0.33%,N/A
DE,Deere & Company,0.33%,N/A
CVS,CVS Corp,0.33%,N/A
BLK,Blackrock Inc,0.32%,N/A
LMT,Lockheed Martin Corp,0.32%,N/A
GILD,Gilead Sciences Inc,0.31%,N/A
AXP,American Express Company,0.31%,N/A
AMT,American Tower Corp,0.30%,N/A
AMAT,Applied Materials,0.29%,N/A
C,Citigroup Inc,0.29%,N/A
BKNG,Booking Holdings Inc,0.28%,N/A
PYPL,Paypal Holdings,0.27%,N/A
TJX,TJX Companies,0.27%,N/A
ADP,Automatic Data Procs,0.27%,N/A
ADI,Analog Devices,0.27%,N/A
NOW,Servicenow Inc,0.27%,N/A
SYK,Stryker Corp,0.26%,N/A
MDLZ,Mondelez Intl Inc,0.26%,N/A
GE,General Electric Company,0.26%,N/A
CB,Chubb Ltd,0.26%,N/A
ISRG,Intuitive Surg Inc,0.26%,N/A
CI,Cigna Corp,0.26%,N/A
MMC,Marsh & Mclennan Companies,0.25%,N/A
TMUS,T-Mobile US,0.25%,N/A
MO,Altria Group,0.24%,N/A
REGN,Regeneron Pharmaceuticals,0.24%,N/A
PGR,Progressive Corp,0.23%,N/A
TGT,Target Corp,0.23%,N/A
DUK,Duke Energy Corp,0.23%,N/A
VRTX,Vertex Pharmaceutic,0.23%,N/A
ZTS,Zoetis Inc Cl A,0.22%,N/A
SLB,Schlumberger N.V.,0.22%,N/A
SO,Southern Company,0.21%,N/A
EOG,Eog Resources,0.21%,N/A
LRCX,Lam Research Corp,0.21%,N/A
BDX,Becton Dickinson and Company,0.21%,N/A
BSX,Boston Scientific Corp,0.20%,N/A
ITW,Illinois Tool Works Inc,0.20%,N/A
FISV,Fiserv Inc,0.20%,N/A
CSX,CSX Corp,0.20%,N/A
EQIX,Equinix Inc,0.19%,N/A
