"b'LocalTime=10:52:00.997,Message=Imbalance,MarketTime=10:52:01.347,Side=S,Type=R,Status=E,Symbol=CO.NY,Price=0,Volume=32303,Source=NYSE,AuctionPrice=2.9876,ContinuousPrice=2.6600,PairedVolume=30022,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:22.082,Message=Imbalance,MarketTime=10:52:22.310,Side=S,Type=H,Status= ,Symbol=AMV.NQ,Price=37.680,Volume=129,Source=NSDQ,AuctionPrice=37.680,ContinuousPrice=37.680,PairedVolume=2364,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:24.079,Message=Imbalance,MarketTime=10:52:24.310,Side=S,Type=H,Status= ,Symbol=AMV.NQ,Price=37.680,Volume=95,Source=NSDQ,AuctionPrice=37.680,ContinuousPrice=37.680,PairedVolume=2398,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:26.077,Message=Imbalance,MarketTime=10:52:26.310,Side=S,Type=H,Status= ,Symbol=AMV.NQ,Price=37.680,Volume=92,Source=NSDQ,AuctionPrice=37.680,ContinuousPrice=37.680,PairedVolume=2401,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:28.079,Message=Imbalance,MarketTime=10:52:28.310,Side=S,Type=H,Status= ,Symbol=AMV.NQ,Price=37.680,Volume=94,Source=NSDQ,AuctionPrice=37.680,ContinuousPrice=37.680,PairedVolume=2399,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:30.103,Message=Imbalance,MarketTime=10:52:30.310,Side=S,Type=H,Status= ,Symbol=AMV.NQ,Price=37.680,Volume=61,Source=NSDQ,AuctionPrice=37.680,ContinuousPrice=37.680,PairedVolume=2432,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:32.077,Message=Imbalance,MarketTime=10:52:32.310,Side=S,Type=H,Status= ,Symbol=AMV.NQ,Price=37.680,Volume=69,Source=NSDQ,AuctionPrice=37.680,ContinuousPrice=37.680,PairedVolume=2472,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:34.080,Message=Imbalance,MarketTime=10:52:34.310,Side=S,Type=H,Status= ,Symbol=AMV.NQ,Price=37.680,Volume=69,Source=NSDQ,AuctionPrice=37.680,ContinuousPrice=37.680,PairedVolume=2472,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:36.082,Message=Imbalance,MarketTime=10:52:36.310,Side=S,Type=H,Status= ,Symbol=AMV.NQ,Price=37.680,Volume=68,Source=NSDQ,AuctionPrice=37.680,ContinuousPrice=37.680,PairedVolume=2473,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:38.086,Message=Imbalance,MarketTime=10:52:38.310,Side=S,Type=H,Status= ,Symbol=AMV.NQ,Price=37.680,Volume=68,Source=NSDQ,AuctionPrice=37.680,ContinuousPrice=37.680,PairedVolume=2473,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:40.074,Message=Imbalance,MarketTime=10:52:40.310,Side=S,Type=H,Status= ,Symbol=AMV.NQ,Price=37.680,Volume=68,Source=NSDQ,AuctionPrice=37.680,ContinuousPrice=37.680,PairedVolume=2473,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:42.075,Message=Imbalance,MarketTime=10:52:42.310,Side=S,Type=H,Status= ,Symbol=AMV.NQ,Price=37.680,Volume=67,Source=NSDQ,AuctionPrice=37.680,ContinuousPrice=37.680,PairedVolume=2474,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:44.076,Message=Imbalance,MarketTime=10:52:44.310,Side=S,Type=H,Status= ,Symbol=AMV.NQ,Price=37.680,Volume=67,Source=NSDQ,AuctionPrice=37.680,ContinuousPrice=37.680,PairedVolume=2474,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:46.076,Message=Imbalance,MarketTime=10:52:46.310,Side=S,Type=H,Status= ,Symbol=AMV.NQ,Price=37.680,Volume=48,Source=NSDQ,AuctionPrice=37.680,ContinuousPrice=37.680,PairedVolume=2493,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:48.092,Message=Imbalance,MarketTime=10:52:48.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=37.680,Volume=2,Source=NSDQ,AuctionPrice=37.680,ContinuousPrice=37.680,PairedVolume=2541,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:50.081,Message=Imbalance,MarketTime=10:52:50.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.000,Volume=5,Source=NSDQ,AuctionPrice=38.000,ContinuousPrice=38.000,PairedVolume=2541,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:52.078,Message=Imbalance,MarketTime=10:52:52.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.000,Volume=5,Source=NSDQ,AuctionPrice=38.000,ContinuousPrice=38.000,PairedVolume=2541,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:54.074,Message=Imbalance,MarketTime=10:52:54.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.000,Volume=60,Source=NSDQ,AuctionPrice=38.000,ContinuousPrice=38.000,PairedVolume=2541,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:56.075,Message=Imbalance,MarketTime=10:52:56.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.180,Volume=17,Source=NSDQ,AuctionPrice=38.180,ContinuousPrice=38.180,PairedVolume=2541,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:58.089,Message=Imbalance,MarketTime=10:52:58.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.180,Volume=20,Source=NSDQ,AuctionPrice=38.180,ContinuousPrice=38.180,PairedVolume=2541,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
