Ticker,Quantity,Market
A,1000000,18
AA,1000000,18
AAC,1000000,18
AAIC,1000000,18
AAN,1000000,18
AAP,1000000,18
AAQC,352300,18
AAT,1000000,18
AB,1000000,18
ABB,1000000,18
ABBV,1000000,18
ABC,1000000,18
ABG,1000000,18
ABM,1000000,18
ABR,1000000,18
ABT,1000000,18
AC,1000000,18
ACA,1000000,18
ACAQ,702400,18
ACC,1000000,18
ACCO,1000000,18
ACEL,1000000,18
ACHR,1000000,18
ACI,1000000,18
ACII,1000000,18
ACM,1000000,18
ACN,1000000,18
ACR,1000000,18
ACRE,1000000,18
ACRO,896600,18
ADC,1000000,18
ADEX,1000000,18
ADM,1000000,18
ADNT,1000000,18
ADT,1000000,18
AEE,1000000,18
AEG,1000000,18
AEL,1000000,18
AEM,1000000,18
AEO,1000000,18
AER,1000000,18
AESC,1000000,18
AFG,1000000,18
AFL,1000000,18
AFTR,1000000,18
AG,1000000,18
AGAC,1000000,18
AGCB,1000000,18
AGCO,1000000,18
AGI,1000000,18
AGL,1000000,18
AGM,1000000,18
AGO,1000000,18
AGR,1000000,18
AGRO,1000000,18
AGS,1000000,18
AGTI,1000000,18
AGX,1000000,18
AHH,1000000,18
AHT,1000000,18
AI,1000000,18
AIG,1000000,18
AIN,1000000,18
AIR,1000000,18
AIRC,1000000,18
AIT,1000000,18
AIV,1000000,18
AIZ,1000000,18
AJG,1000000,18
AJRD,1000000,18
AJX,1000000,18
AKA,1000000,18
AKR,1000000,18
AL,1000000,18
ALB,1000000,18
ALC,1000000,18
ALCC,1000000,18
ALE,1000000,18
ALEX,1000000,18
ALG,1000000,18
ALIT,1000000,18
ALK,1000000,18
ALL,1000000,18
ALLE,1000000,18
ALLY,1000000,18
ALSN,1000000,18
ALTG,1000000,18
ALV,1000000,18
ALX,952600,18
AM,1000000,18
AMAM,1000000,18
AMBC,1000000,18
AMBP,1000000,18
AMCR,1000000,18
AME,1000000,18
AMG,1000000,18
AMH,1000000,18
AMK,1000000,18
AMN,1000000,18
AMP,1000000,18
AMPI,1000000,18
AMPY,1000000,18
AMR,1000000,18
AMRC,1000000,18
AMRX,1000000,18
AMT,1000000,18
AMWL,1000000,18
AMX,1000000,18
AN,1000000,18
ANAC,1000000,18
ANET,1000000,18
ANF,1000000,18
ANTM,1000000,18
ANVS,953800,18
AON,1000000,18
AORT,1000000,18
AOS,1000000,18
AP,1000000,18
APAM,1000000,18
APD,1000000,18
APG,1000000,18
APGB,1000000,18
APH,1000000,18
APLE,1000000,18
APN,1000000,18
APO,1000000,18
APTS,1000000,18
APTV,1000000,18
AQN,1000000,18
AQUA,1000000,18
AR,1000000,18
ARCH,1000000,18
ARCO,1000000,18
ARE,1000000,18
ARES,1000000,18
ARGO,1000000,18
ARI,1000000,18
ARIS,1000000,18
ARL,186500,18
ARLO,1000000,18
ARMK,1000000,18
ARNC,1000000,18
AROC,1000000,18
ARR,1000000,18
ARW,1000000,18
ASAI,1000000,18
ASAN,1000000,18
ASAQ,1000000,18
ASB,1000000,18
ASC,1000000,18
ASGN,1000000,18
ASH,1000000,18
ASIX,1000000,18
ASPN,1000000,18
ASR,1000000,18
ASX,1000000,18
ASZ,1000000,18
ATC,1000000,18
ATCO,1000000,18
ATEK,253400,18
ATEN,1000000,18
ATGE,1000000,18
ATHM,1000000,18
ATI,1000000,18
ATKR,1000000,18
ATO,1000000,18
ATR,1000000,18
ATTO,957900,18
ATUS,1000000,18
AU,1000000,18
AUS,1000000,18
AUY,1000000,18
AVA,1000000,18
AVAL,1000000,18
AVAN,1000000,18
AVB,1000000,18
AVD,1000000,18
AVLR,1000000,18
AVNS,1000000,18
AVNT,1000000,18
AVTR,1000000,18
AVY,1000000,18
AVYA,1000000,18
AWF,1000000,18
AWI,1000000,18
AWK,1000000,18
AWR,1000000,18
AX,1000000,18
AXAC,720500,18
AXL,1000000,18
AXP,1000000,18
AXR,926100,18
AXS,1000000,18
AXTA,1000000,18
AYI,1000000,18
AYX,1000000,18
AZEK,1000000,18
AZO,1000000,18
AZRE,1000000,18
AZUL,1000000,18
AZZ,1000000,18
B,1000000,18
BA,1000000,18
BABA,1000000,18
BAC,1000000,18
BACA,480000,18
BAH,1000000,18
BALL,1000000,18
BALY,1000000,18
BAM,1000000,18
BAMR,1000000,18
BANC,1000000,18
BAP,1000000,18
BAX,1000000,18
BB,1000000,18
BBD,1000000,18
BBDC,1000000,18
BBN,1000000,18
BBUC,1000000,18
BBVA,1000000,18
BBW,1000000,18
BBWI,1000000,18
BBY,1000000,18
BC,1000000,18
BCAT,1000000,18
BCC,1000000,18
BCE,1000000,18
BCH,1000000,18
BCO,1000000,18
BCS,1000000,18
BCSF,1000000,18
BCX,1000000,18
BDC,1000000,18
BDN,1000000,18
BDX,1000000,18
BDXB,1000000,18
BE,1000000,18
BEKE,1000000,18
BEN,1000000,18
BEP,1000000,18
BEPC,1000000,18
BERY,1000000,18
BF.A,1000000,18
BF.B,1000000,18
BFAM,1000000,18
BFH,1000000,18
BFLY,1000000,18
BFS,1000000,18
BFZ,129300,18
BG,1000000,18
BGR,1000000,18
BGS,1000000,18
BGSF,1000000,18
BGX,529300,18
BH,478100,18
BHC,1000000,18
BHE,1000000,18
BHIL,1000000,18
BHK,1000000,18
BHLB,1000000,18
BHP,1000000,18
BHR,1000000,18
BHVN,1000000,18
BIG,1000000,18
BILL,1000000,18
BIO,1000000,18
BIP,1000000,18
BIPC,1000000,18
BITE,1000000,18
BJ,1000000,18
BK,1000000,18
BKD,1000000,18
BKE,1000000,18
BKH,1000000,18
BKI,1000000,18
BKU,1000000,18
BLD,1000000,18
BLDR,1000000,18
BLK,1000000,18
BLND,1000000,18
BLX,1000000,18
BMA,1000000,18
BMAC,1000000,18
BMEZ,1000000,18
BMI,1000000,18
BMO,1000000,18
BMY,1000000,18
BNL,1000000,18
BNS,1000000,18
BOAC,913700,18
BOAC.U,132900,18
BOAS,801900,18
BOC,1000000,18
BOH,1000000,18
BOOT,1000000,18
BOX,1000000,18
BP,1000000,18
BR,1000000,18
BRBR,1000000,18
BRC,1000000,18
BRDG,1000000,18
BRK.B,1000000,18
BRMK,1000000,18
BRO,1000000,18
BRSP,1000000,18
BRT,1000000,18
BRX,1000000,18
BSAC,1000000,18
BSIG,1000000,18
BSM,1000000,18
BSMX,1000000,18
BSX,1000000,18
BTI,1000000,18
BTU,1000000,18
BTZ,1000000,18
BUD,1000000,18
BUR,1000000,18
BURL,1000000,18
BV,1000000,18
BVH,1000000,18
BVN,1000000,18
BW,1000000,18
BWA,1000000,18
BWXT,1000000,18
BX,1000000,18
BXC,1000000,18
BXMT,1000000,18
BXP,1000000,18
BY,1000000,18
BYD,1000000,18
BZH,1000000,18
C,1000000,18
CAAP,1000000,18
CABO,1000000,18
CACI,1000000,18
CADE,1000000,18
CAE,1000000,18
CAG,1000000,18
CAH,1000000,18
CAJ,757500,18
CAL,1000000,18
CALX,1000000,18
CAPL,948500,18
CARR,1000000,18
CARS,1000000,18
CAT,1000000,18
CATO,1000000,18
CB,1000000,18
CBD,1000000,18
CBL,1000000,18
CBRE,1000000,18
CBT,1000000,18
CBU,1000000,18
CBZ,1000000,18
CC,1000000,18
CCCS,1000000,18
CCI,1000000,18
CCJ,1000000,18
CCK,1000000,18
CCL,1000000,18
CCRD,1000000,18
CCS,1000000,18
CCU,1000000,18
CCV,1000000,18
CCVI,1000000,18
CDAY,1000000,18
CDE,1000000,18
CDR,1000000,18
CDRE,1000000,18
CE,1000000,18
CEE,646000,18
CEIX,1000000,18
CEM,332600,18
CEPU,557300,18
CEQP,1000000,18
CF,1000000,18
CFG,1000000,18
CFR,1000000,18
CGAU,1000000,18
CHAA,294800,18
CHCT,1000000,18
CHD,1000000,18
CHE,1000000,18
CHGG,1000000,18
CHH,1000000,18
CHMI,1000000,18
CHRA,1000000,18
CHS,1000000,18
CHT,1000000,18
CHWY,1000000,18
CI,1000000,18
CIA,1000000,18
CIB,1000000,18
CIEN,1000000,18
CIM,1000000,18
CINT,1000000,18
CIO,1000000,18
CIR,1000000,18
CIVI,1000000,18
CIXX,1000000,18
CL,1000000,18
CLAA,1000000,18
CLAS,1000000,18
CLB,1000000,18
CLBR,481700,18
CLDT,1000000,18
CLF,1000000,18
CLH,1000000,18
CLIM,943400,18
CLPR,1000000,18
CLR,1000000,18
CLS,1000000,18
CLW,1000000,18
CLX,1000000,18
CM,1000000,18
CMA,1000000,18
CMC,1000000,18
CMG,1000000,18
CMI,1000000,18
CMP,1000000,18
CMRE,1000000,18
CMS,1000000,18
CMU,147000,18
CNA,1000000,18
CNC,1000000,18
CND,1000000,18
CNHI,1000000,18
CNI,1000000,18
CNK,1000000,18
CNM,1000000,18
CNMD,1000000,18
CNNE,1000000,18
CNO,1000000,18
CNP,1000000,18
CNQ,1000000,18
CNR,1000000,18
CNS,1000000,18
CNVY,1000000,18
CNX,1000000,18
CO,1000000,18
CODI,1000000,18
COF,1000000,18
COLD,1000000,18
COMP,1000000,18
COO,1000000,18
COOK,1000000,18
COP,1000000,18
COTY,1000000,18
COUR,1000000,18
CP,1000000,18
CPA,1000000,18
CPB,1000000,18
CPE,1000000,18
CPF,1000000,18
CPG,1000000,18
CPK,1000000,18
CPNG,1000000,18
CPRI,1000000,18
CPT,1000000,18
CPTK,689900,18
CPUH,1000000,18
CPUH.U,155200,18
CR,1000000,18
CRC,1000000,18
CRD.A,1000000,18
CRD.B,1000000,18
CRGY,1000000,18
CRH,1000000,18
CRHC,1000000,18
CRI,1000000,18
CRK,1000000,18
CRL,1000000,18
CRM,1000000,18
CRS,1000000,18
CRU,1000000,18
CS,1000000,18
CSAN,1000000,18
CSL,1000000,18
CSR,1000000,18
CSTA,1000000,18
CSTM,1000000,18
CSV,1000000,18
CTLT,1000000,18
CTO,1000000,18
CTOS,1000000,18
CTR,118900,18
CTRA,1000000,18
CTRE,1000000,18
CTS,1000000,18
CTT,1000000,18
CTVA,1000000,18
CUBE,1000000,18
CUBI,1000000,18
CUK,1000000,18
CULP,1000000,18
