Ticker,Quantity,Market
AADI,1000000,19
AAL,1000000,19
AAON,1000000,19
AAPL,1000000,19
AATC,1000000,19
AAWW,1000000,19
AAXJ,1000000,19
ABCB,1000000,19
ABCL,1000000,19
ABCM,1000000,19
ABGI,221700,19
ABMD,1000000,19
ABNB,1000000,19
ABOS,1000000,19
ABST,1000000,19
ABTX,1000000,19
ACAB,979000,19
ACAH,1000000,19
ACCD,1000000,19
ACET,1000000,19
ACEV,984600,19
ACGL,1000000,19
ACHC,1000000,19
ACHV,790800,19
ACIW,1000000,19
ACLS,1000000,19
ACMR,1000000,19
ACNB,1000000,19
ACQR,1000000,19
ACQRU,1000000,19
ACRS,1000000,19
ACT,1000000,19
ACTD,464300,19
ACTG,1000000,19
ACVA,1000000,19
ACWI,1000000,19
ACWX,1000000,19
ACXP,254900,19
ADBE,1000000,19
ADER,316900,19
ADES,1000000,19
ADI,1000000,19
ADP,1000000,19
ADPT,1000000,19
ADSK,1000000,19
ADTN,1000000,19
ADUS,1000000,19
ADV,1000000,19
AEHA,490100,19
AEIS,1000000,19
AEP,1000000,19
AEPPZ,1000000,19
AERI,1000000,19
AEYE,709700,19
AFAC,1000000,19
AFAQ,428100,19
AFARU,142200,19
AFBI,312800,19
AFCG,1000000,19
AFRM,1000000,19
AFYA,1000000,19
AGGR,1000000,19
AGGRU,382000,19
AGIO,1000000,19
AGNC,1000000,19
AGYS,1000000,19
AHCO,1000000,19
AHPA,1000000,19
AIA,1000000,19
AIKI,402800,19
AIMC,1000000,19
AINV,1000000,19
AIP,1000000,19
AIRG,1000000,19
AIRS,1000000,19
AKAM,1000000,19
AKRO,1000000,19
AKTS,1000000,19
AKUS,1000000,19
AKYA,1000000,19
ALBO,1000000,19
ALCO,1000000,19
ALDX,1000000,19
ALEC,1000000,19
ALGM,1000000,19
ALGN,1000000,19
ALGT,1000000,19
ALHC,1000000,19
ALIM,414600,19
ALKS,1000000,19
ALKT,1000000,19
ALLO,1000000,19
ALNY,1000000,19
ALOR,740000,19
ALOT,1000000,19
ALPA,1000000,19
ALPN,1000000,19
ALRM,1000000,19
ALRS,1000000,19
ALT,1000000,19
ALTO,1000000,19
ALTR,1000000,19
ALTU,168100,19
ALVR,1000000,19
ALXO,1000000,19
AMAL,1000000,19
AMAT,1000000,19
AMBA,1000000,19
AMCI,750400,19
AMCX,1000000,19
AMD,1000000,19
AMED,1000000,19
AMEH,1000000,19
AMGN,1000000,19
AMKR,1000000,19
AMNB,1000000,19
AMOT,1000000,19
AMPH,1000000,19
AMRK,1000000,19
AMSC,1000000,19
